zip5,po_name,primary_ruca,secondary_ruca,ruca_category
32457,Port Saint Joe,10,10,ultra_rural
32459,Santa Rosa Beach,1,1,urban
32460,Sneads,10,10,ultra_rural
32461,Inlet Beach,1,1,urban
32462,Vernon,2,2,urban
32463,Wausau,2,2,urban
32464,Westville,10,10,ultra_rural
32465,Wewahitchka,10,10,ultra_rural
32466,Youngstown,2,2,urban
32501,Pensacola,1,1,urban
32502,Pensacola,1,1,urban
32503,Pensacola,1,1,urban
32504,Pensacola,1,1,urban
32505,Pensacola,1,1,urban
32506,Pensacola,1,1,urban
32507,Pensacola,1,1,urban
32508,Pensacola,1,1,urban
32509,Pensacola,1,1,urban
32511,Pensacola,1,1,urban
32512,Pensacola,1,1,urban
32513,Pensacola,1,1,urban
32514,Pensacola,1,1,urban
32516,Pensacola,1,1,urban
32520,Pensacola,1,1,urban
32521,Pensacola,1,1,urban
32522,Pensacola,1,1,urban
32523,Pensacola,1,1,urban
32524,Pensacola,1,1,urban
32526,Pensacola,1,1,urban
32530,Bagdad,1,1,urban
32531,Baker,2,2,urban
32533,Cantonment,1,1,urban
32534,Pensacola,1,1,urban
32535,Century,2,2,urban
32536,Crestview,2,2,urban
32537,Milligan,2,2,urban
32538,Paxton,3,3,urban
32539,Crestview,2,2,urban
32540,Destin,1,1,urban
32541,Destin,1,1,urban
32542,Eglin AFB,1,1,urban
32544,Hurlburt Field,1,1,urban
32547,Fort Walton Beach,1,1,urban
32548,Fort Walton Beach,1,1,urban
32549,Fort Walton Beach,1,1,urban
32550,Miramar Beach,1,1,urban
32559,Pensacola,1,1,urban
32560,Gonzalez,1,1,urban
32561,Gulf Breeze,1,1,urban
32562,Gulf Breeze,1,1,urban
32563,Gulf Breeze,1,1,urban
32564,Holt,2,2,urban
32565,Jay,10,10.1,ultra_rural
32566,Navarre,1,1,urban
32567,Laurel Hill,2,2,urban
32568,Mc David,2,2,urban
32569,Mary Esther,1,1,urban
32570,Milton,1,1,urban
32571,Milton,1,1,urban
32572,Milton,1,1,urban
32577,Molino,2,2,urban
32578,Niceville,1,1,urban
32579,Shalimar,1,1,urban
32580,Valparaiso,1,1,urban
32583,Milton,2,2,urban
32588,Niceville,1,1,urban
32591,Pensacola,1,1,urban
32601,Gainesville,1,1,urban
32602,Gainesville,1,1,urban
32603,Gainesville,1,1,urban
32604,Gainesville,1,1,urban
32605,Gainesville,1,1,urban
32606,Gainesville,1,1,urban
32607,Gainesville,1,1,urban
32608,Gainesville,1,1,urban
32609,Gainesville,1,1,urban
32610,Gainesville,1,1,urban
32611,Gainesville,1,1,urban
32612,Gainesville,1,1,urban
32614,Gainesville,1,1,urban
32615,Alachua,2,2,urban
32616,Alachua,2,2,urban
32617,Anthony,2,2,urban
32618,Archer,2,2,urban
32619,Bell,10,10,ultra_rural
32621,Bronson,2,2,urban
32622,Brooker,2,2,urban
32625,Cedar Key,10,10,ultra_rural
32626,Chiefland,10,10,ultra_rural
32627,Gainesville,1,1,urban
32628,Cross City,10,10,ultra_rural
32631,Earleton,2,2,urban
32633,Evinston,2,2,urban
32634,Fairfield,3,3,urban
32635,Gainesville,1,1,urban
32639,Gulf Hammock,10,10,ultra_rural
32640,Hawthorne,2,2,urban
32641,Gainesville,1,1,urban
32643,High Springs,2,2,urban
32644,Chiefland,10,10,ultra_rural
32648,Horseshoe Beach,10,10,ultra_rural
32653,Gainesville,1,1,urban
32654,Island Grove,2,2,urban
32655,High Springs,2,2,urban
